date,avg(fee)
2010-01-11,0
2010-01-12,161490.68322981367
2010-01-13,0
2010-01-14,0
2010-01-15,0
2010-01-16,0
2010-01-17,0
2010-01-18,0
2010-01-19,0
2010-01-20,0
2010-01-21,0
2010-01-22,0
2010-01-23,0
2010-01-24,0
2010-01-25,0
2010-01-26,0
2010-01-27,0
2010-01-28,0
2010-01-29,0
2010-01-30,0
2010-01-31,0
2010-02-01,0
2010-02-02,0
2010-02-03,0
2010-02-04,0
2010-02-05,0
2010-02-06,0
2010-02-07,0
2010-02-08,0
2010-02-09,209523.80952380953
2010-02-10,0
2010-02-11,0
2010-02-12,0
2010-02-13,0
2010-02-14,0
2010-02-15,0
2010-02-16,0
2010-02-17,0
2010-02-18,0
2010-02-19,0
2010-02-20,0
2010-02-21,0
2010-02-22,0
2010-02-23,0
2010-02-24,0
2010-02-25,0
2010-02-26,0
2010-02-27,0
2010-02-28,0
2010-03-01,0
2010-03-02,0
2010-03-03,0
2010-03-04,0
2010-03-05,0
2010-03-06,0
2010-03-07,0
2010-03-08,0
2010-03-09,0
2010-03-10,0
2010-03-11,0
2010-03-12,0
2010-03-13,0
2010-03-14,0
2010-03-15,0
2010-03-16,0
2010-03-17,0
2010-03-18,0
2010-03-19,0
2010-03-20,0
2010-03-21,0
2010-03-22,0
2010-03-23,0
2010-03-24,0
2010-03-25,0
2010-03-26,0
2010-03-27,0
2010-03-28,0
2010-03-29,0
2010-03-30,0
2010-03-31,0
2010-04-01,0
2010-04-02,0
2010-04-03,0
2010-04-04,142076.50273224045
2010-04-05,0
2010-04-06,0
2010-04-07,0
2010-04-08,0
2010-04-09,0
2010-04-10,0
2010-04-11,0
2010-04-12,0
2010-04-13,0
2010-04-14,0
2010-04-15,0
2010-04-16,0
2010-04-17,0
2010-04-18,0
2010-04-19,0
2010-04-20,0
2010-04-21,0
2010-04-22,0
2010-04-23,0
2010-04-24,0
2010-04-25,0
2010-04-26,0
2010-04-27,0
2010-04-28,0
2010-04-29,0
2010-04-30,0
2010-05-01,0
2010-05-02,0
2010-05-03,0
2010-05-04,0
2010-05-05,0
2010-05-06,0
2010-05-07,0
2010-05-08,0
2010-05-09,0
2010-05-10,0
2010-05-11,0
2010-05-12,0
2010-05-13,0
2010-05-14,4385620.91503268
2010-05-15,2336283.1858407077
2010-05-16,0
2010-05-17,0
2010-05-18,0
2010-05-19,0
2010-05-20,0
2010-05-21,0
2010-05-22,438053.09734513273
2010-05-23,0
2010-05-24,0
2010-05-25,0
2010-05-26,0
2010-05-27,0
2010-05-28,0
2010-05-29,0
2010-05-30,0
2010-05-31,0
2010-06-01,0
2010-06-02,0
2010-06-03,0
2010-06-04,0
2010-06-05,0
2010-06-06,0
2010-06-07,0
2010-06-08,0
2010-06-09,0
2010-06-10,0
2010-06-11,0
2010-06-12,0
2010-06-13,0
2010-06-14,0
2010-06-15,0
2010-06-16,0
2010-06-17,0
2010-06-18,0
2010-06-19,0
2010-06-20,0
2010-06-21,0
2010-06-22,0
2010-06-23,0
2010-06-24,0
2010-06-25,0
2010-06-26,0
2010-06-27,0
2010-06-28,0
2010-06-29,0
2010-06-30,501831.50183150184
2010-07-01,0
2010-07-02,0
2010-07-03,0
2010-07-04,0
2010-07-05,0
2010-07-06,0
2010-07-07,0
2010-07-08,0
2010-07-09,0
2010-07-10,0
2010-07-11,0
2010-07-12,0
2010-07-13,0
2010-07-14,163.07893020221786
2010-07-15,49624.06015037594
2010-07-16,22861.98137171888
2010-07-17,12254.901960784313
2010-07-18,197619.04761904763
2010-07-19,17045.454545454544
2010-07-20,0
2010-07-21,0
2010-07-22,0
2010-07-23,2433.0900243309
2010-07-24,0
2010-07-25,159078.44212835983
2010-07-26,323340.4710920771
2010-07-27,157276.9953051643
2010-07-28,53818.55458739108
2010-07-29,47670.058918050345
2010-07-30,89230.76923076923
2010-07-31,101694.91525423729
2010-08-01,85164.83516483517
2010-08-02,52763.81909547739
2010-08-03,0
2010-08-04,0
2010-08-05,0
2010-08-06,0
2010-08-07,846153.8461538461
2010-08-08,0
2010-08-09,1018867.9245283019
2010-08-10,0
2010-08-11,0
2010-08-12,0
2010-08-13,0
2010-08-14,0
2010-08-15,0
2010-08-16,147902.8697571744
2010-08-17,0
2010-08-18,413793.1034482759
2010-08-19,0
2010-08-20,0
2010-08-21,0
2010-08-22,0
2010-08-23,0
2010-08-24,211081.79419525067
2010-08-25,0
2010-08-26,0
2010-08-27,0
2010-08-28,0.32448377581120946
2010-08-29,88461.53846153847
2010-08-30,109422.4924012158
2010-08-31,45351.54195011338
2010-09-01,21052.684210526317
2010-09-02,0
2010-09-03,0
2010-09-04,0
2010-09-05,3215.434083601286
2010-09-06,0.03597122302158273
2010-09-07,0
2010-09-08,0.058997050147492625
2010-09-09,33950.648148148146
2010-09-10,0.027777777777777776
2010-09-11,0
2010-09-12,39577.836411609496
2010-09-13,0.022935779816513763
2010-09-14,2264.9811320754716
2010-09-15,0
2010-09-16,0
2010-09-17,0
2010-09-18,45112.78195488722
2010-09-19,0
2010-09-20,0
2010-09-21,0.012345679012345678
2010-09-22,0
2010-09-23,0
2010-09-24,0
2010-09-25,0
2010-09-26,0
2010-09-27,3316.749585406302
2010-09-28,293279.02240325866
2010-09-29,0
2010-09-30,0
2010-10-01,95890.4109589041
2010-10-02,1550.5249500998004
2010-10-03,2060.0132625994693
2010-10-04,0.24324324324324326
2010-10-05,0
2010-10-06,0.2678132678132678
2010-10-07,0
2010-10-08,0
2010-10-09,0
2010-10-10,0
2010-10-11,0.31871345029239767
2010-10-12,0
2010-10-13,96153.84615384616
2010-10-14,0
2010-10-15,0
2010-10-16,0
2010-10-17,0
2010-10-18,3454.231433506045
2010-10-19,0
2010-10-20,0
2010-10-21,1406.911231884058
2010-10-22,0
2010-10-23,9671.17988394584
2010-10-24,0
2010-10-25,0
2010-10-26,0
2010-10-27,0
2010-10-28,0
2010-10-29,0
2010-10-30,0
2010-10-31,0
2010-11-01,0
2010-11-02,0
2010-11-03,0
2010-11-04,0
2010-11-05,0
2010-11-06,0
2010-11-07,0
2010-11-08,161165.0485436893
2010-11-09,0
2010-11-10,0
2010-11-11,0
2010-11-12,0
2010-11-13,0
2010-11-14,0
2010-11-15,9854.239375898173
2010-11-16,0
2010-11-17,0
2010-11-18,0
2010-11-19,830.5647840531561
2010-11-20,10276.43613194944
2010-11-21,10354.440461967344
2010-11-22,163265.306122449
2010-11-23,140762.4633431085
2010-11-24,4827.235772357723
2010-11-25,0
2010-11-26,28158.295281582952
2010-11-27,4494.38202247191
2010-11-28,0
2010-11-29,6607.929515418502
2010-11-30,2202.643171806167
2010-12-01,7812.5
2010-12-02,13043.478260869566
2010-12-03,2604.1666666666665
2010-12-04,2609.3947368421054
2010-12-05,6912.442396313364
2010-12-06,9717.662365591397
2010-12-07,14336.190226876091
2010-12-08,7648.183556405354
2010-12-09,7669.261316872428
2010-12-10,18766.756032171583
2010-12-11,21317.814545454545
2010-12-12,23106.39502332815
2010-12-13,48216.173374613005
2010-12-14,7492.096477794793
2010-12-15,10503.196261682244
2010-12-16,19504.606403013182
2010-12-17,50743.06060606061
2010-12-18,13333.795591182365
2010-12-19,20988.23774954628
2010-12-20,7188.1083690987125
2010-12-21,17488.076311605724
2010-12-22,26883.41212121212
2010-12-23,11560.693641618496
2010-12-24,14744.497175141243
2010-12-25,10635.728706624606
2010-12-26,16377.60102739726
2010-12-27,14571.325095057035
2010-12-28,15641.856278366113
2010-12-29,26461.144249512672
2010-12-30,15579.345699831367
2010-12-31,4207.317117117117
2011-01-01,13528.464339908953
2011-01-02,15409.019332161688
2011-01-03,64561.52659574468
2011-01-04,3196.211440245148
2011-01-05,7089.781679389313
2011-01-06,11972.047550432277
2011-01-07,5247.560784313726
2011-01-08,1229.4101671309193
2011-01-09,11447.260834014718
2011-01-10,5247.30868902439
2011-01-11,3048.837738619677
2011-01-12,25008.94148020654
2011-01-13,1969.894944707741
2011-01-14,5145.7107765451665
2011-01-15,10908.406444906444
2011-01-16,9267.303974221268
2011-01-17,19045.156626506025
2011-01-18,4606.7860635696825
2011-01-19,5452.562704471102
2011-01-20,12702.020562770564
2011-01-21,4329.825042881646
2011-01-22,32998.18213783404
2011-01-23,33215.46623496762
2011-01-24,17437.45261561789
2011-01-25,14517.344206974129
2011-01-26,10945.273631840795
2011-01-27,70154.57788347205
2011-01-28,5550.416281221092
2011-01-29,32810.3994060876
2011-01-30,108838.26697530864
2011-01-31,54558.50681981335
2011-02-01,78093.57156959527
2011-02-02,5580.357142857143
2011-02-03,21316.823827629913
2011-02-04,12955.819706498953
2011-02-05,19021.950721153848
2011-02-06,13325.179317931794
2011-02-07,35366.82062780269
2011-02-08,20965.71158392435
2011-02-09,5339.631621841891
2011-02-10,42917.604719764015
2011-02-11,21193.497664543524
2011-02-12,38800.69769874477
2011-02-13,13172.338090010977
2011-02-14,136590.2293120638
2011-02-15,10947.029226618704
2011-02-16,28229.665071770334
2011-02-17,5487.196888888889
2011-02-18,25778.210116731516
2011-02-19,34112.44472520531
2011-02-20,10314.595152140279
2011-02-21,20812.18274111675
2011-02-22,11177.969945355191
2011-02-23,16697.029164825453
2011-02-24,7951.385490753912
2011-02-25,19950.073786407767
2011-02-26,28713.92161885246
2011-02-27,47598.06081974438
2011-02-28,30107.777325581395
2011-03-01,15469.174422865519
2011-03-02,19537.0831259333
2011-03-03,220564.9188514357
2011-03-04,36362.26034308779
2011-03-05,117343.7509765625
2011-03-06,256105.36681437716
2011-03-07,310336.18276220147
2011-03-08,161065.57459016395
2011-03-09,177087.9482006543
2011-03-10,134156.37808549067
2011-03-11,349375.2202760085
2011-03-12,52332.07645466847
2011-03-13,64750.754334194025
2011-03-14,67212.38176314793
2011-03-15,64127.53994393833
2011-03-16,56864.5931511153
2011-03-17,41265.01158301158
2011-03-18,56997.04723745255
2011-03-19,38187.29852618376
2011-03-20,61017.6324828263
2011-03-21,148042.5781383433
2011-03-22,470518.3199285076
2011-03-23,395482.77242888405
2011-03-24,382173.3798521257
2011-03-25,259264.63231615807
2011-03-26,135835.0824587706
2011-03-27,256607.09297604547
2011-03-28,150460.59365404298
2011-03-29,125831.49411331862
2011-03-30,235244.87471526195
2011-03-31,187112.17183770883
2011-04-01,215326.15579480684
2011-04-02,154650.11399548533
2011-04-03,235407.93905817173
2011-04-04,245901.02728453875
2011-04-05,248739.97168475695
2011-04-06,262355.150751073
2011-04-07,178306.49970184854
2011-04-08,233169.21335597057
2011-04-09,242931.33294864398
2011-04-10,301243.6473623853
2011-04-11,224760.66083376223
2011-04-12,226072.64997592682
2011-04-13,171261.07085617882
2011-04-14,492992.01666088164
2011-04-15,123887.189296333
2011-04-16,169957.55617455897
2011-04-17,95813.02614089499
2011-04-18,107914.46425041187
2011-04-19,157067.31878821566
2011-04-20,240650.2724823173
2011-04-21,176174.08877284595
2011-04-22,252265.14067715785
2011-04-23,228190.47619047618
2011-04-24,292658.26044874615
2011-04-25,336159.95061728393
2011-04-26,148158.53516642546
2011-04-27,201128.36091703057
2011-04-28,218467.87479406918
2011-04-29,210005.00537634408
2011-04-30,231149.62486027274
2011-05-01,286954.85743226134
2011-05-02,155531.94022617125
2011-05-03,164094.74923339012
2011-05-04,227278.11607142858
2011-05-05,273985.3418013857
2011-05-06,230623.60516717326
2011-05-07,171212.32209930537
2011-05-08,256379.26742581092
2011-05-09,309681.8677474403
2011-05-10,259003.9869882577
2011-05-11,258669.41812297734
2011-05-12,215213.74947932162
2011-05-13,283974.47539370076
2011-05-14,328642.2473946534
2011-05-15,395130.7604774536
2011-05-16,336746.8659461945
2011-05-17,308804.78897849465
2011-05-18,352149.09872782655
2011-05-19,347888.4282650654
2011-05-20,363772.2406673618
2011-05-21,424878.93493150687
2011-05-22,356318.10336993565
2011-05-23,311408.6245430809
2011-05-24,359912.179198636
2011-05-25,333053.5519335251
2011-05-26,304376.8768479977
2011-05-27,285141.6270348238
2011-05-28,278280.03830041894
2011-05-29,290325.343782874
2011-05-30,350292.75604272063
2011-05-31,329099.60003298696
2011-06-01,368415.4990825688
2011-06-02,331819.20880044845
2011-06-03,311128.2569600758
2011-06-04,365221.8947906027
2011-06-05,275634.36824953445
2011-06-06,301998.8892095228
2011-06-07,322930.45456565206
2011-06-08,375736.8358865848
2011-06-09,355873.549934297
2011-06-10,340825.27331617713
2011-06-11,324477.10929613654
2011-06-12,356192.6800643087
2011-06-13,325001.7116308021
2011-06-14,255866.14507698826
2011-06-15,317906.4171360571
2011-06-16,250163.6029342539
2011-06-17,273744.40208923514
2011-06-18,245018.24621637983
2011-06-19,225702.6796548117
2011-06-20,180636.3723830735
2011-06-21,184411.94672300082
2011-06-22,153808.76195850334
2011-06-23,139619.59665962757
2011-06-24,150164.46090459623
2011-06-25,241578.22500773755
2011-06-26,252905.3549323986
2011-06-27,225742.0765041273
2011-06-28,185173.10980501914
2011-06-29,199764.10937812438
2011-06-30,183686.32212536322
2011-07-01,176041.3840422522
2011-07-02,183776.48640558744
2011-07-03,159587.13390722143
2011-07-04,166615.41909620992
2011-07-05,209769.5186837702
2011-07-06,161679.78410495294
2011-07-07,152666.88148148148
2011-07-08,155080.37183395872
2011-07-09,165212.19882817476
2011-07-10,149074.01525262155
2011-07-11,141285.57198517534
2011-07-12,156953.18571253223
2011-07-13,162547.55172413794
2011-07-14,153654.5207664066
2011-07-15,203749.50287571893
2011-07-16,125624.68341595313
2011-07-17,144794.80116959065
2011-07-18,144133.0340909091
2011-07-19,161665.53990201416
2011-07-20,119296.20850727745
2011-07-21,110274.95712360652
2011-07-22,150605.6963630297
2011-07-23,103953.04908968307
2011-07-24,124149.46088331915
2011-07-25,127641.8955192409
2011-07-26,93593.73679808842
2011-07-27,111193.07554721701
2011-07-28,92865.18992486759
2011-07-29,97256.63800410116
2011-07-30,92006.77323240458
2011-07-31,83962.9856772441
2011-08-01,93909.79402074436
2011-08-02,84265.83667914257
2011-08-03,105924.0509241308
2011-08-04,93630.45804742989
2011-08-05,86650.12921195652
2011-08-06,352596.30977465614
2011-08-07,97451.43889716841
2011-08-08,109330.51396724921
2011-08-09,126781.64898579022
2011-08-10,128932.20287942412
2011-08-11,93619.17101105845
2011-08-12,84877.73970690859
2011-08-13,93167.13463098135
2011-08-14,138087.7467541159
2011-08-15,116289.96849266022
2011-08-16,103013.17458506224
2011-08-17,87288.82608132609
2011-08-18,79818.83047875928
2011-08-19,102010.04071447333
2011-08-20,75329.06466416354
2011-08-21,74178.77083605061
2011-08-22,96627.63186180423
2011-08-23,95709.56836608493
2011-08-24,118030.24772634722
2011-08-25,82822.18340008287
2011-08-26,63182.97614876701
2011-08-27,79047.42398993869
2011-08-28,80744.75022365361
2011-08-29,66151.36693847294
2011-08-30,125869.33470015376
2011-08-31,81110.65907844213
2011-09-01,77897.31514646675
2011-09-02,97294.44007970396
2011-09-03,64629.19780590717
2011-09-04,136019.47216864149
2011-09-05,101872.83563006109
2011-09-06,83321.20868454661
2011-09-07,114795.42299012694
2011-09-08,71855.80083115284
2011-09-09,104028.2939262473
2011-09-10,89517.18371433338
2011-09-11,79109.44606549744
2011-09-12,81736.49764258556
2011-09-13,63778.47706703482
2011-09-14,60979.3035483871
2011-09-15,113075.53413654618
2011-09-16,80017.97809631181
2011-09-17,94559.01943527686
2011-09-18,89842.33995990644
2011-09-19,89093.25311889373
2011-09-20,80657.12166973604
2011-09-21,67361.4022644456
2011-09-22,61640.108486724224
2011-09-23,66836.48862199747
2011-09-24,117237.8626047486
2011-09-25,58853.7153093324
2011-09-26,52149.06596914346
2011-09-27,76679.2096377643
2011-09-28,72777.56356988533
2011-09-29,60909.029701198786
2011-09-30,61507.38482523444
2011-10-01,67765.28228507629
2011-10-02,63154.03277060576
2011-10-03,138643.83729489343
2011-10-04,63239.993974866586
2011-10-05,68679.33599029631
2011-10-06,136822.74103518267
2011-10-07,75663.01321818822
2011-10-08,61358.91132913736
2011-10-09,53843.93384643577
2011-10-10,56877.32607956477
2011-10-11,88318.686846543
2011-10-12,77805.93679610018
2011-10-13,83459.30036115569
2011-10-14,55768.779414171164
2011-10-15,60499.035490231225
2011-10-16,64424.92431238707
2011-10-17,74314.88479501817
2011-10-18,59693.20830762904
2011-10-19,63583.42807017544
2011-10-20,129306.55990535599
2011-10-21,51417.28313484441
2011-10-22,55025.21450919046
2011-10-23,55652.24019258202
2011-10-24,58787.364509605664
2011-10-25,52445.31859931114
2011-10-26,58565.35166919575
2011-10-27,57397.79987171264
2011-10-28,59471.81652989449
2011-10-29,62075.88295210865
2011-10-30,65935.47048192771
2011-10-31,60244.17599382478
2011-11-01,84871.55703652414
2011-11-02,55060.58053747287
2011-11-03,46522.11386534463
2011-11-04,48157.08486238532
2011-11-05,61101.863697705805
2011-11-06,47000.87981724275
2011-11-07,63322.830058224165
2011-11-08,69532.87754421087
2011-11-09,50896.88942307692
2011-11-10,51028.74055954747
2011-11-11,41054.390732377775
2011-11-12,48198.42344450946
2011-11-13,52885.706736136955
2011-11-14,46599.04840893704
2011-11-15,47214.173272191285
2011-11-16,62330.658895502645
2011-11-17,57426.81730187538
2011-11-18,64943.44708841168
2011-11-19,66262.07239627435
2011-11-20,76787.58829268292
2011-11-21,58113.8962264151
2011-11-22,53875.432161719174
2011-11-23,62743.58092175777
2011-11-24,79695.51933041052
2011-11-25,78133.80969741159
2011-11-26,59644.007575757576
2011-11-27,50396.213594151355
2011-11-28,51323.210961214165
2011-11-29,68298.13205487996
2011-11-30,53300.469593116526
2011-12-01,70607.7649559194
2011-12-02,72734.5754985755
2011-12-03,82638.34789557804
2011-12-04,52794.65273909007
2011-12-05,48134.77697611031
2011-12-06,53266.090624216595
2011-12-07,63074.34898125509
2011-12-08,47060.821993127145
2011-12-09,53873.39298496779
2011-12-10,50862.67506164142
2011-12-11,4185581.1195590193
2011-12-12,3647125.156931304
2011-12-13,74993.37310395857
2011-12-14,67860.91110330287
2011-12-15,161438.49711340206
2011-12-16,52319.21010844307
2011-12-17,72418.8549969958
2011-12-18,66952.92573402417
2011-12-19,71137.98015058179
2011-12-20,93832.17188244639
2011-12-21,76398.63833602295
2011-12-22,58943.03396484042
2011-12-23,46687.544174586415
2011-12-24,48214.337913267496
2011-12-25,55341.363791146425
2011-12-26,57725.249778408084
2011-12-27,57508.70754173863
2011-12-28,62984.4688
2011-12-29,79814.99213353799
2011-12-30,66094.87190655316
2011-12-31,76803.73467004088
2012-01-01,71071.41291741651
2012-01-02,102645.50055452865
2012-01-03,92710.16022865061
2012-01-04,247703.32106089688
2012-01-05,81474.51558478696
2012-01-06,97670.65728476821
2012-01-07,75867.79983065199
2012-01-08,58141.754684572144
2012-01-09,104214.56364528796
2012-01-10,73328.2966901303
2012-01-11,79874.59616192745
2012-01-12,615561.420400239
2012-01-13,142966.32729662626
2012-01-14,187834.63405318055
2012-01-15,212743.52265525982
2012-01-16,559324.618870089
2012-01-17,113316.8865521327
2012-01-18,163146.348578306
2012-01-19,398632.232975949
2012-01-20,365293.77123893803
2012-01-21,74933.49795790135
2012-01-22,57053.62084507042
2012-01-23,81311.21721311475
2012-01-24,134148.17239955973
2012-01-25,96417.023363899
2012-01-26,135671.10927553804
2012-01-27,362876.15938141075
2012-01-28,153724.46362098138
2012-01-29,3431517.593681917
2012-01-30,473248.3136681294
2012-01-31,103756.5806498195
2012-02-01,73065.68102122424
2012-02-02,161750.82007258513
2012-02-03,97955.9790070922
2012-02-04,120013.76025977614
2012-02-05,62892.39607322114
2012-02-06,69924.35332464146
2012-02-07,94705.48402738164
2012-02-08,72813.69803530752
2012-02-09,99071.43963675214
2012-02-10,49368.704233680226
2012-02-11,50936.734340408904
2012-02-12,55009.86514935989
2012-02-13,65729.70482982983
2012-02-14,163072.6579196965
2012-02-15,65335.37613794581
2012-02-16,105498.17898710286
2012-02-17,53354.84700501623
2012-02-18,51339.90193370166
2012-02-19,44509.3801611279
2012-02-20,64959.19514118946
2012-02-21,53395.91246105919
2012-02-22,47455.226577703645
2012-02-23,62509.57174943848
2012-02-24,63688.74790764791
2012-02-25,49523.64668569616
2012-02-26,58864.16938670332
2012-02-27,84064.81841128433
2012-02-28,57215.103643122675
2012-02-29,50637.675546956394
2012-03-01,98639.95331082073
2012-03-02,58937.157096141265
2012-03-03,47502.373240794295
2012-03-04,73231.18403884085
2012-03-05,74346.02751110474
2012-03-06,76098.50157035176
2012-03-07,60598.73700075358
2012-03-08,61384.780623775805
2012-03-09,63617.04490925869
2012-03-10,81597.69236499068
2012-03-11,55611.85372391346
2012-03-12,61305.5904575802
2012-03-13,153027.7751183232
2012-03-14,75112.66439448876
2012-03-15,57535.00127307448
2012-03-16,127223.28060562364
2012-03-17,51782.69793484584
2012-03-18,53452.72677595628
2012-03-19,63508.84936861094
2012-03-20,70527.02033947907
2012-03-21,48261.652285714285
2012-03-22,51371.70821314711
2012-03-23,68677.47011046133
2012-03-24,233836.1822745098
2012-03-25,111143.60560206053
2012-03-26,52539.987762501885
2012-03-27,64051.06825682568
2012-03-28,68250.83091587236
2012-03-29,59396.408619313646
2012-03-30,64379.7737258348
2012-03-31,72946.94815891473
